Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,latitude,longitude,radius_miles
0,98,0,11,3,2,0,432,40,0,0,0,0,0,42.5622403,-83.1075632,3
0,26,1,0,1,0,0,143,23,0,0,0,0,0,42.4951132,-82.9071393,3
0,20,0,0,3,4,1,179,19,0,0,0,0,0,42.4651984,-82.967063,3
0,19,0,0,2,0,1,68,23,0,0,0,0,0,42.531985,-82.8880491,3
0,34,0,0,4,1,2,321,24,0,0,1,0,0,42.4913723,-83.0071095,3
0,58,0,9,2,5,0,299,41,0,0,0,0,0,42.5075139,-83.0862566,3
0,43,0,0,3,0,1,148,28,0,0,0,0,0,42.5315487,-82.9288631,3
0,11,1,0,2,1,1,4,9,0,0,0,0,0,41.8815178,-83.3956826,3
0,35,2,1,2,1,2,118,59,0,0,0,0,0,43.2128059,-86.2706452,3
0,142,0,11,3,2,1,638,109,0,0,0,0,0,42.5190375,-83.1262457,3
0,106,39,1,5,8,3,712,181,0,0,0,0,0,42.5027183,-83.1957122,3
0,147,2,14,3,9,3,936,152,0,0,0,0,0,42.5486109,-83.1661162,3
0,58,4,0,2,1,1,1759,177,0,0,0,0,0,42.5129149,-83.3586564,3
0,97,2,1,4,8,3,775,158,0,0,0,0,0,42.5171809,-83.2032535,3
0,169,2,15,4,10,3,955,172,0,0,0,0,0,42.5318668,-83.1660459,3
0,84,1,4,2,1,2,591,55,0,0,0,0,0,42.5764877,-83.1674535,3
0,147,2,8,3,2,2,844,143,0,0,0,0,0,42.5602663,-83.1677996,3
0,115,38,1,7,3,1,347,143,0,0,0,0,0,42.4606124,-83.1474636,3
0,135,1,14,3,2,2,885,101,0,0,0,0,0,42.5341132,-83.1363014,3
0,43,1,0,2,14,3,334,194,0,0,0,0,0,42.4851455,-83.3183628,3
0,105,38,1,6,10,2,642,158,0,0,0,0,0,42.4875601,-83.1838402,3
