name,latitude,longitude,driving_distance,distance_to_nearest_motorway,traffic_aadt,grocery_stores,food_outlets,tourist_destinations,hotels,educational_institutions,hospitals,airports,residential_housing_density,commercial_housing_density,fuel_stations_and_car_wash,apparels,visits
Meijer,41.8762332,-84.0356064,21.5,27,19788,15,17,0,0,32,5,4,32,7,14,2,39879
Meijer,42.7157554,-83.0319671,0.4,2,45211,37,27,4,0,21,12,1,178,12,23,1,47531
Meijer,42.3779874,-83.3301397,0.7,3,148440,226,126,4,0,148,72,4,1377,257,136,12,44944
Meijer,43.0018429,-84.1158384,8.7,15,6777,15,13,0,0,8,4,5,301,97,13,1,42491
Meijer,42.7225189,-82.7418136,0.7,3,2316,21,8,0,1,11,7,2,29,8,20,0,30859
Meijer,42.6764755,-82.8357543,2,8,7723,44,16,36,1,22,10,12,66,15,35,1,31118
Meijer,42.5627301,-83.0264473,3.3,8,37438,179,121,0,3,85,48,2,768,48,112,12,40197
Meijer,42.5098834,-83.049324,1.1,3,13783,259,154,0,10,123,48,2,737,80,164,8,40491
Meijer,42.651411,-83.5308897,17.2,26,715,26,8,7,0,21,6,2,1,16,15,2,39748
Meijer,42.5387463,-83.1817991,2.7,8,22036,167,289,41,16,127,54,3,1480,291,88,123,36046
Meijer,42.6338534,-83.1283764,5.3,8,102382,90,107,1,0,79,34,3,501,38,57,20,37147
Meijer,44.2664743,-86.2965456,37.3,43,886,12,9,2,2,4,4,5,3,3,8,1,26288
Meijer,42.1914139,-83.1845448,3.8,10,11904,175,159,1,5,85,125,1,1277,69,94,61,36137
Meijer,41.934064,-85.655071,37.3,43,5807,9,7,0,0,9,2,3,49,18,6,0,27626
Meijer,42.1101583,-83.2896231,5.4,11,8335,48,42,1,0,32,20,3,742,14,34,6,29561
Meijer,42.3343963,-83.0326004,0.3,2,7513,235,403,19,14,356,150,7,1206,564,113,110,40674
